artifact_id,status,release_tag,filename,sha256,lineage,purpose,authoritative_report,notes
M1-INIT-YOLO26S,available,v0.1-m1-weights,yolo26s.pt,646f8bc3fe0a656803d95c294f7852321748cb29d13466a1af8862e2db384a1b,official_pretrained_initialization,training_initialization,reports/experiments/M1_CV3_OOF_FORMAL_RESULT_AND_RECOVERY_AUDIT_v2.md,不是训练后 checkpoint
M1-CV3-BEST-ENGINEERING,engineering_only,v0.1-m1-weights,M1-CV3-OOF-fold012-best.tar.gz,8409c849a8d6629193c666d8e0b424b79eeb4459e908c39e3adc6c3d220d7af1,three_fold_best_pt,adapter_and_pipeline_smoke_only,reports/experiments/M1_CV3_OOF_FORMAL_RESULT_AND_RECOVERY_AUDIT_v2.md,不得用于正式精度/消融/时延结论
M1-CV3-OOF-EVIDENCE,available,v0.1-m1-weights,M1-CV3-OOF-return-no-checkpoints.tar.gz,d2583e7942f4046d3f1d11920b8fb4103e1f73e09a63e44efc42de344319be61,formal_three_fold_oof_without_checkpoints,formal_evaluation_evidence,reports/experiments/M1_CV3_OOF_FORMAL_RESULT_AND_RECOVERY_AUDIT_v2.md,已于 2026-08-11 上传 Gitee Release
M1-CV3-RECOVERY-R2-EVIDENCE,available,v0.1-m1-weights,M1-CV3-OOF-SINGLE-ANALYSIS-R2-V2-return.tar.gz,db419e29d8e020471392be19344476e7eeac84bbe240fa990996f6cc9adfec31,formal_power_interruption_recovery_analysis,recovery_audit_evidence,reports/experiments/M1_CV3_OOF_FORMAL_RESULT_AND_RECOVERY_AUDIT_v2.md,已于 2026-08-11 上传 Gitee Release
M1-CV3-LAST-FOLD0,pending_source_retrieval,,,d403ca0d5f760f8d7271af33c467426a3bd8ce8095b6d13e5dc63a6d8e19501d,fold0_fixed_epoch160_last_pt,formal_evaluation_and_final_pipeline,reports/experiments/M1_CV3_OOF_FORMAL_RESULT_AND_RECOVERY_AUDIT_v2.md,当前本地同名文件是已作废 YOLOv8s 诊断权重且 SHA 不符；禁止误传
M1-CV3-LAST-FOLD1,pending_source_retrieval,,,b1e3d44f61c36a7202c930dd2e89f325ed7b8a668096b9ebef974d76c05354e4,fold1_fixed_epoch160_last_pt,formal_evaluation_and_final_pipeline,reports/experiments/M1_CV3_OOF_FORMAL_RESULT_AND_RECOVERY_AUDIT_v2.md,当前本地同名文件是已作废 YOLOv8s 诊断权重且 SHA 不符；禁止误传
M1-CV3-LAST-FOLD2,pending_source_retrieval,,,1879663336326af8a830da52e4a3099ddd05d0a4e9f70958e0dc00f2dd176c13,fold2_fixed_epoch160_last_pt_after_audited_resume,formal_evaluation_and_final_pipeline,reports/experiments/M1_CV3_OOF_FORMAL_RESULT_AND_RECOVERY_AUDIT_v2.md,当前本地同名文件是已作废 YOLOv8s 诊断权重且 SHA 不符；禁止误传
R1-0-OOF-EVIDENCE,available,v0.2-r1-evidence,R1-0-P03-TEACHER-M1-OOF-return.tar.gz,64f1d1a65e91163f9475f57b50fb531f92f2dff454cb537b8a9599e628bbeeeb,p03_fold_specific_teacher_on_m1_formal_oof_proposals,proposal_reranking_logits_crossfit_and_decision,reports/experiments/R1_PROPOSAL_RERANKING_RESULT_20260811.md,无 checkpoint；含 55548 proposal manifest、三折 logits、冻结 C2 对照与决策；已上传 Gitee Release
N0-FP-BG-R1-6-V3-REVIEW,available,v0.2-r1-evidence,N0-FP-BG-AUDIT-R1-6-V3-review-package.tar.gz,57f7056e63e956046d851d026a8c49a93cfbd261d05b6a6b3bf2a993a3b13d4f,r1_6_final_chain_blinded_fp_bg_sample,manual_blind_review,reports/experiments/N0_FP_BG_FINAL_CHAIN_REVIEW_V3_20260814.md,322 张盲审卡；不含密封映射与候选身份；已上传 Gitee Release
R1-9-SHIP-VEHICLE-NMS-AUDIT,available,v0.2-r1-evidence,R1-9-SHIP-VEHICLE-POST-NMS-return-no-predictions.tar.gz,b10c8bb09993d2367ef54997db2c83eaaf71ef5f2481be5e2a62c80ab76ae502,r1_6_plus_fixed_ship_vehicle_official_iou_nms,negative_ablation_audit,reports/experiments/R1_SHIP_VEHICLE_POST_NMS_RESULT_20260814.md,不含完整预测；误删 58 TP 因此停止；已上传 Gitee Release
